date,redis-leader_num_pods,redis-leader_desired_replicas,redis-leader_cpu_usage,redis-leader_mem_usage,redis-leader_traffic_in,redis-leader_traffic_out,redis-leader_latency,redis-follower_num_pods,redis-follower_desired_replicas,redis-follower_cpu_usage,redis-follower_mem_usage,redis-follower_traffic_in,redis-follower_traffic_out,redis-follower_latency,redis-leader_cpu_predictions
2022-09-10 05:40:37,1.0,2.0,372.0,0.0,633.0,3914.0,0.003,1.0,1.0,73.0,6.7,225.0,48.0,0.003,562.3688437312063
2022-09-10 05:40:38,1.0,2.0,372.0,0.0,633.0,3914.0,0.003,1.0,1.0,73.0,6.7,225.0,48.0,0.003,524.295074984965
2022-09-10 05:40:39,1.0,2.0,372.0,0.0,633.0,3914.0,0.003,1.0,1.0,73.0,6.7,225.0,48.0,0.003,493.836059987972
2022-09-10 05:40:40,1.0,2.0,372.0,0.0,633.0,3914.0,0.003,8.0,1.0,73.0,6.7,225.0,48.0,0.003,469.4688479903776
2022-09-10 05:40:41,1.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,449.9750783923022
2022-09-10 05:40:42,1.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,434.38006271384177
2022-09-10 05:40:43,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,421.90405017107344
2022-09-10 05:40:44,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,411.9232401368588
2022-09-10 05:40:45,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,403.9385921094871
2022-09-10 05:40:46,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,397.5508736875897
2022-09-10 05:40:47,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,392.4406989500718
2022-09-10 05:40:48,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,388.3525591600575
2022-09-10 05:40:49,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,385.082047328046
2022-09-10 05:40:50,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,382.4656378624368
2022-09-10 05:40:51,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,380.3725102899495
2022-09-10 05:40:52,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,5.0,1.0,73.0,6.7,225.0,48.0,0.003,378.69800823195953
2022-09-10 05:40:53,7.0,2.0,372.0,0.0,633.0,3914.0,0.003,8.0,1.0,73.0,6.7,225.0,48.0,0.003,377.3584065855677
2022-09-10 05:40:54,7.0,2.0,372.0,0.0,633.0,3914.0,0.004,8.0,1.0,73.0,6.7,225.0,48.0,0.004,376.2867252684541
2022-09-10 05:40:55,7.0,2.0,372.0,0.0,633.0,3914.0,0.004,8.0,1.0,83.0,0.0,230.0,53.0,0.004,375.42938021476334
2022-09-10 05:40:56,7.0,2.0,372.0,0.0,633.0,3914.0,0.004,8.0,1.0,83.0,0.0,230.0,53.0,0.004,374.74350417181074
2022-09-10 05:40:57,7.0,2.0,360.0,0.1,608.0,2572.0,0.004,8.0,1.0,83.0,0.0,230.0,53.0,0.004,371.7948033374486
2022-09-10 05:40:58,7.0,2.0,360.0,0.1,608.0,2572.0,0.005,8.0,1.0,83.0,0.0,230.0,53.0,0.005,369.4358426699589
2022-09-10 05:40:59,7.0,2.0,360.0,0.1,608.0,2572.0,0.005,8.0,1.0,83.0,0.0,230.0,53.0,0.005,367.54867413596713
2022-09-10 05:41:00,6.0,2.0,360.0,0.1,608.0,2572.0,0.005,8.0,1.0,83.0,0.0,230.0,53.0,0.005,366.0389393087737
2022-09-10 05:41:01,6.0,2.0,360.0,0.1,608.0,2572.0,0.005,8.0,1.0,83.0,0.0,230.0,53.0,0.005,364.83115144701895
2022-09-10 05:41:02,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,8.0,1.0,83.0,0.0,230.0,53.0,0.006,363.8649211576152
2022-09-10 05:41:03,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,1.0,1.0,83.0,0.0,230.0,53.0,0.006,363.09193692609216
2022-09-10 05:41:04,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,1.0,1.0,83.0,0.0,230.0,53.0,0.006,362.47354954087376
2022-09-10 05:41:05,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,1.0,1.0,83.0,0.0,230.0,53.0,0.006,361.978839632699
2022-09-10 05:41:06,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,4.0,1.0,69.0,7.1,188.0,44.0,0.006,361.5830717061592
2022-09-10 05:41:07,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,4.0,1.0,69.0,7.1,188.0,44.0,0.006,361.26645736492736
2022-09-10 05:41:08,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,4.0,1.0,69.0,7.1,188.0,44.0,0.006,361.0131658919419
2022-09-10 05:41:09,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,4.0,1.0,69.0,7.1,188.0,44.0,0.006,360.8105327135535
2022-09-10 05:41:10,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,4.0,1.0,69.0,7.1,188.0,44.0,0.006,360.6484261708428
2022-09-10 05:41:11,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,7.0,1.0,69.0,7.1,188.0,44.0,0.006,360.5187409366743
2022-09-10 05:41:12,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,7.0,1.0,69.0,7.1,188.0,44.0,0.006,360.4149927493394
2022-09-10 05:41:13,6.0,2.0,360.0,0.1,608.0,2572.0,0.006,7.0,1.0,69.0,7.1,188.0,44.0,0.006,360.3319941994716
2022-09-10 05:41:14,6.0,2.0,360.0,0.1,608.0,2572.0,0.003,3.0,1.0,69.0,7.1,188.0,44.0,0.003,360.2655953595773
2022-09-10 05:41:15,6.0,2.0,360.0,0.1,608.0,2572.0,0.003,3.0,1.0,69.0,7.1,188.0,44.0,0.003,360.21247628766184
2022-09-10 05:41:16,6.0,2.0,360.0,0.1,608.0,2572.0,0.003,3.0,1.0,69.0,7.1,188.0,44.0,0.003,360.16998103012946
2022-09-10 05:41:17,6.0,2.0,360.0,0.1,608.0,2572.0,0.003,3.0,1.0,69.0,7.1,188.0,44.0,0.003,360.1359848241036
2022-09-10 05:41:18,6.0,2.0,360.0,0.1,608.0,2572.0,0.003,3.0,1.0,69.0,7.1,188.0,44.0,0.003,360.10878785928287
2022-09-10 05:41:19,6.0,2.0,360.0,0.1,608.0,2572.0,0.003,3.0,1.0,69.0,7.1,188.0,44.0,0.003,360.0870302874264
2022-09-10 05:41:20,7.0,3.0,408.0,0.3,608.0,2572.0,0.003,3.0,1.0,84.0,16.2,188.0,44.0,0.003,369.6696242299411
2022-09-10 05:41:21,7.0,3.0,408.0,0.3,608.0,2572.0,0.003,3.0,1.0,84.0,16.2,188.0,44.0,0.003,377.33569938395294
2022-09-10 05:41:22,7.0,3.0,422.0,0.3,608.0,2572.0,0.005,3.0,1.0,84.0,16.2,188.0,44.0,0.005,386.2685595071624
